time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration,
19,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
28,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
974,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
996,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1008,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1012,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1016,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1026,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1030,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1035,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1041,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1046,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1050,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1054,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1058,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1062,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1067,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1073,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1076,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1095,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1101,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1104,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1109,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1115,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1120,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1123,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1136,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1140,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1148,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1152,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1156,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1162,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1166,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1170,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1181,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1187,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1193,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1197,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1200,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1211,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1215,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1227,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1232,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1237,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1241,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1244,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1251,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1254,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1258,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1261,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1265,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1269,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1273,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1277,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1281,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1285,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1308,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1313,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1320,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1325,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1329,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
1337,0,-1.31547,1.118585,-0.2982402,0,0,-1.53967,1.11749,-0.4432851,0,0,0,0
