time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration
16,0,0.8847496,1.494722,2.930549,0.09150393,0,0.882698,1.421066,2.738638,0.007889801,4.575197
28,0,0.8843189,1.494803,2.929782,0.0645776,0,0.8825875,1.421233,2.738602,0.01487824,-1.346317
42,0,0.8844616,1.495025,2.929276,0.04074687,0,0.8824995,1.421387,2.738549,0.01324045,-1.191537
56,0,0.885516,1.495883,2.928835,0.1032185,0,0.8824337,1.421555,2.738457,0.01463672,3.123582
70,0,0.887522,1.497762,2.928339,0.197826,0,0.8823984,1.421738,2.73832,0.01636988,4.730373
84,0,0.8894644,1.499654,2.927793,0.1969938,0,0.8823986,1.421888,2.738203,0.01353275,-0.04160851
98,0,0.8928399,1.502295,2.92736,0.313075,0,0.8824449,1.421984,2.738109,0.01032899,5.804061
112,0,0.8965948,1.504925,2.926841,0.3293177,0,0.8825235,1.422036,2.738035,0.008548395,0.8121312
125,0,0.9001246,1.506948,2.926445,0.2954234,0,0.8826282,1.422079,2.737969,0.009476046,-1.694715
140,0,0.9044058,1.509115,2.926163,0.3498504,0,0.8827724,1.422146,2.73789,0.01290962,2.721354
153,0,0.9093086,1.511304,2.92588,0.3915085,0,0.8829104,1.422182,2.737837,0.0110863,2.082902
167,0,0.9150394,1.513576,2.925917,0.4377116,0,0.8831356,1.422125,2.737808,0.01662916,2.310157
181,0,0.9216267,1.516133,2.926229,0.5016685,0,0.883406,1.421938,2.737813,0.02330272,3.197841
195,0,0.928421,1.518515,2.926543,0.521692,0,0.88368,1.421673,2.737837,0.02766754,1.001179
209,0,0.9362534,1.520662,2.92707,0.5871306,0,0.8839648,1.421289,2.737901,0.03477626,3.271929
223,0,0.94423,1.52266,2.927517,0.5931188,0,0.8842939,1.420739,2.738059,0.04756026,0.299412
237,0,0.952696,1.52492,2.927909,0.6309474,0,0.8843641,1.42049,2.738204,0.0213243,1.891425
251,0,0.961989,1.527246,2.928582,0.677736,0,0.8843021,1.420413,2.73828,0.00880787,2.339435
264,0,0.9723427,1.529176,2.92994,0.7661991,0,0.8844603,1.419651,2.738591,0.06043813,4.423151
279,0,0.983149,1.530756,2.931602,0.782613,0,0.8845285,1.418916,2.738888,0.05638856,0.8206964
293,0,0.9940148,1.531881,2.933365,0.8021026,0,0.8845567,1.418606,2.739005,0.02412707,0.9744793
